gmlid,area,fixed,lat,lon
n22009,4,50,38.284617,141.01274
n22010,4,50,38.12453,140.904079
n22011,4,50,38.132708,140.915739
n22012,4,50,38.101219,140.861963
n22013,4,50,38.109479,140.869821
n22014,4,0,38.072713,140.917964
n22015,4,50,38.104932,140.909074
n22016,4,50,38.118068,140.873078
n22017,4,50,38.090487,140.857133
n22018,4,50,38.112447,140.854177
n22019,4,50,38.767921,141.158182
n22020,4,0,38.755979,141.183457
n22021,4,50,38.728571,141.260379
n22022,4,0,38.720984,141.211233
n22023,4,50,38.707931,141.264841
n22024,4,0,38.709041,141.233732
n22025,4,0,38.696265,141.237344
n22026,4,50,38.634053,141.358447
n22027,4,50,38.610624,141.299906
n22028,4,50,38.652104,141.281787
n22029,4,50,38.731818,141.277339
n22030,4,0,38.751066,141.346001
n22031,4,50,38.765704,141.327888
n22032,4,50,38.704877,141.290117
n22033,4,50,38.658766,141.153186
n22034,4,0,38.654753,141.118468
n22035,4,50,38.68932,141.202624
n22036,4,50,38.688683,141.191984
n22037,4,50,38.680984,141.086248
n22038,4,50,38.709037,141.117632
n22039,4,0,38.681817,141.062084
n22040,4,50,38.701817,141.161239
n22041,4,50,38.726996,141.163838
n22042,4,0,38.605163,141.227627
n22043,4,50,38.629048,141.200128
n22044,4,0,38.640551,141.233404
n22045,4,0,38.622658,141.158465
n22046,4,50,38.584611,141.249015
n22047,4,50,38.744585,140.915985
n22048,4,50,38.739309,140.953481
n22049,4,50,38.764261,140.896314
n22050,4,50,38.766912,140.96249
n22051,4,50,38.792377,140.846392
n22052,4,0,38.799304,141.066522
n22053,4,50,38.810414,141.074854
n22054,4,50,38.868301,141.121924
n22055,4,50,38.809022,140.983197
n22056,4,50,38.829576,140.986251
n22057,4,0,38.864293,140.954864
n22058,4,0,38.796094,141.022667
n22059,4,0,38.844849,140.907648
n22060,4,50,38.787358,140.98542
n22061,4,50,38.656541,141.011257
n22062,4,0,38.755698,141.07069
n22063,4,50,38.765697,141.08541
n22064,4,50,38.734771,141.121893
n22065,4,50,38.773475,141.131795
n22066,4,50,38.802916,141.115684
n22067,4,0,38.659823,141.069359
n22068,4,0,38.641199,141.051793
n22069,4,0,38.732353,141.02647
n22070,4,50,38.750142,141.013752
n22071,4,0,38.71598,141.036808
n22072,4,0,38.73726,141.028284
n22073,4,50,38.733038,141.021704
n22074,4,50,38.807837,140.94744
n22075,4,0,38.802632,140.908483
n22076,4,0,38.334993,141.154927
n22077,4,50,38.405463,141.156531
n22078,4,50,38.434807,141.237301
n22079,4,50,38.441292,141.177638
n22080,4,0,38.409055,141.237075
n22081,4,0,38.368246,141.140702
n22082,4,50,38.37556,141.15365
n22083,4,50,38.422407,141.21708
n22084,4,0,38.639873,140.885715
n22085,4,0,38.696297,140.928517
n22086,4,0,38.669191,140.865381
n22087,4,50,38.707642,140.834329
n22088,4,50,38.652927,140.869883
n22089,4,50,38.560088,140.953373
n22090,4,50,38.571817,140.966154
n22091,4,50,38.577328,140.966192
